I0,I1,I2,I3,I4,I5
0.110000,-0.920000,0.020000,-8.200000,4.310000,10.270000
-0.160000,-0.980000,0.040000,2.470000,-15.430000,-20.690001
-0.650000,-0.970000,0.030000,-24.790001,15.310000,-51.080002
-0.540000,-0.970000,0.040000,1.970000,10.440000,36.980000
-0.050000,-0.960000,0.030000,6.690000,-3.730000,45.900002
-0.010000,-0.930000,0.100000,-1.820000,-0.610000,-13.320000
-0.180000,-1.020000,-0.040000,-17.440001,-30.170000,-38.400002
-0.910000,-0.960000,-0.100000,-19.370001,25.389999,-30.420000
-0.340000,-1.010000,0.020000,2.730000,6.950000,69.970001
0.080000,-0.970000,-0.020000,-4.380000,-2.450000,19.030001
-0.140000,-0.900000,0.050000,-0.420000,-10.540000,-17.330000
-0.500000,-1.060000,-0.120000,-17.370001,10.180000,-58.400002
-0.710000,-0.960000,0.120000,-4.000000,14.330000,23.930000
-0.190000,-0.940000,0.090000,-0.410000,-1.190000,45.160000
0.050000,-0.920000,0.070000,-3.600000,-14.340000,7.420000
-0.100000,-1.010000,-0.110000,-1.670000,-18.709999,-31.030001
-0.750000,-1.010000,-0.070000,-13.950000,23.360001,-43.480000
-0.470000,-0.960000,-0.070000,-0.430000,-4.240000,43.549999
-0.100000,-0.950000,-0.040000,-0.210000,-12.190000,32.799999
0.000000,-0.950000,0.080000,-1.630000,-7.820000,-4.860000
-0.160000,-1.040000,-0.060000,-15.830000,-27.790001,-37.240002
-0.770000,-0.930000,-0.030000,-23.280001,22.020000,-35.889999
-0.300000,-0.970000,0.080000,6.470000,4.580000,58.270000
-0.020000,-1.010000,0.010000,5.990000,1.660000,26.469999
-0.070000,-0.920000,0.080000,-4.440000,-15.340000,-6.580000
-0.410000,-0.990000,-0.110000,-21.900000,-0.400000,-60.470001
-0.740000,-0.970000,0.090000,-4.280000,11.790000,29.379999
0.020000,-1.010000,0.140000,5.560000,-10.950000,55.959999
0.010000,-0.910000,0.120000,-7.300000,1.080000,-7.130000
-0.090000,-1.020000,-0.030000,-4.440000,-34.299999,-19.230000
-0.840000,-0.960000,-0.070000,-20.080000,31.959999,-47.180000
-0.380000,-0.990000,-0.070000,8.790000,-7.460000,67.690002
0.070000,-0.960000,0.100000,-4.780000,5.210000,28.559999
-0.120000,-0.930000,0.150000,-4.340000,-18.719999,-9.050000
-0.350000,-1.020000,-0.080000,-19.490000,-2.600000,-48.119999
-0.770000,-0.950000,0.110000,-16.340000,12.730000,16.450001
-0.220000,-0.960000,0.040000,3.850000,-11.680000,59.820000
0.060000,-0.960000,0.000000,-2.100000,-3.470000,6.740000
-0.060000,-1.010000,-0.090000,-9.180000,-17.170000,-32.029999
-0.740000,-0.960000,0.080000,-16.290001,20.889999,-52.060001
-0.460000,-0.970000,0.020000,-0.010000,-5.080000,46.980000
0.070000,-0.980000,0.080000,-4.480000,-11.770000,47.560001
-0.030000,-0.910000,0.080000,-3.980000,0.550000,-13.940000
-0.200000,-1.020000,-0.070000,-10.140000,-23.690001,-37.820000
-0.850000,-0.970000,-0.070000,-21.530001,30.840000,-30.920000
-0.340000,-0.950000,-0.070000,1.870000,-2.530000,53.340000
0.040000,-0.950000,0.030000,-4.800000,7.630000,23.500000
-0.060000,-0.960000,0.060000,-3.120000,-20.250000,-4.290000
-0.360000,-1.020000,-0.020000,-13.790000,-8.470000,-46.619999
-0.670000,-0.970000,0.060000,-20.150000,4.470000,4.020000
-0.210000,-1.020000,-0.120000,-14.240000,34.070000,52.259998
0.010000,-0.960000,0.010000,-6.370000,2.370000,13.690000
-0.100000,-0.900000,0.070000,2.320000,-17.629999,-4.660000
-0.360000,-1.050000,-0.010000,-18.299999,-13.200000,-46.400002
-0.670000,-0.950000,0.030000,-20.070000,0.650000,8.820000
-0.260000,-0.960000,-0.140000,-8.340000,3.970000,42.889999
-0.100000,-0.950000,-0.090000,-3.270000,15.140000,23.879999
-0.100000,-0.940000,0.010000,-7.370000,-5.480000,-8.790000
-0.330000,-1.050000,-0.150000,-16.400000,16.709999,-64.629997
-0.780000,-0.920000,0.080000,-17.590000,8.880000,13.480000
-0.150000,-1.000000,-0.110000,6.170000,-6.450000,63.660000
